Title,Artist,Year,Genre,Popularity
Heat Waves,Glass Animals,2020,rock,86
Borderline,Tame Impala,2020,rock,82
The Adults Are Talking,The Strokes,2020,rock,81
Pretty Boy,The Neighbourhood,2020,rock,77
"Swit (feat. Daria Zawialow, Krol & Igo)",Meskie Granie Orkiestra,2020,rock,47
Crazy Train,Ozzy Osbourne,2020,rock,77
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,2020,rock,74
One More Hour,Tame Impala,2020,rock,74
Who's Ready for Tomorrow,RAT BOY,2020,rock,68
Annuszka,Krzysztof Zalewski,2020,rock,44
parents,YUNGBLUD,2020,rock,68
Lonely,Palaye Royale,2020,rock,63
Howlin' for You,The Black Keys,2020,rock,68
"Plona gory, plona lasy",Meskie Granie Orkiestra,2020,rock,43
Is It True,Tame Impala,2020,rock,72
Zanim zrozumiesz,Meskie Granie Orkiestra,2020,rock,41
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,2020,rock,48
Kaikai Kitan,Eve,2020,rock,73
Devil's Advocate,The Neighbourhood,2020,rock,65
Hong Lian Hua ,LiSA,2020,rock,73
Stayin Alive,Bee Gees,2020,rock,73
Born For This,The Score,2020,rock,68
"Swit (feat. Daria Zawialow, KROL & Igo)",Meskie Granie Orkiestra,2020,rock,40
Stargazing,The Neighbourhood,2020,rock,69
Liudi,Daite tank (!),2020,rock,61
Parasite Eve,Bring Me The Horizon,2020,rock,67
Teardrops,Bring Me The Horizon,2020,rock,67
Lost In Yesterday,Tame Impala,2020,rock,69
1x1 (feat. Nova Twins),Bring Me The Horizon,2020,rock,67
M.,Anil Emre Daldal,2020,rock,72
Heartless Madness,Dynazty,2020,rock,61
Tighten Up,The Black Keys,2020,rock,64
Cherry Flavoured,The Neighbourhood,2020,rock,65
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,63
"Plona gory, plona lasy",Meskie Granie Orkiestra,2020,rock,37
Major Crimes,HEALTH,2020,rock,59
Stronger,The Score,2020,rock,64
Lost The Game,Two Feet,2020,rock,59
Sleigh Ride,The Ronettes,2020,rock,54
Bylas serca biciem,Meskie Granie Orkiestra,2020,rock,36
Zabawa,Krzysztof Zalewski,2020,rock,36
I Want You To Love Me,Fiona Apple,2020,rock,64
More Than A Woman,Bee Gees,2020,rock,69
Accidentally In Love,Counting Crows,2020,rock,59
Impossible,Nothing But Thieves,2020,rock,59
Breathe Deeper,Tame Impala,2020,rock,67
Little Bastards,Palaye Royale,2020,rock,55
Ode To The Mets,The Strokes,2020,rock,69
Is Everybody Going Crazy?,Nothing But Thieves,2020,rock,58
Shot In The Dark,AC/DC,2020,rock,62
Protect The Land,System Of A Down,2020,rock,60
You?,Two Feet,2020,rock,59
Monsters (feat. blackbear),All Time Low,2020,rock,69
Black Catcher,VK Blanka,2020,rock,64
Mr. Crowley,Ozzy Osbourne,2020,rock,64
Tonight Is The Night I Die,Palaye Royale,2020,rock,54
Selfless,The Strokes,2020,rock,71
Black Catcher,VK Blanka,2020,rock,63
Wszystko bedzie dobrze,Krzysztof Zalewski,2020,rock,34
Uwazaj na niego,Meskie Granie Orkiestra,2020,rock,34
Why,Dominic Fike,2020,rock,69
"Dear Diary,",Bring Me The Horizon,2020,rock,58
Wodzirej,Sztywny Pal Azji,2020,rock,33
Dirty,grandson,2020,rock,59
Genocidal Humanoidz,System Of A Down,2020,rock,59
Boku no Sensou - TV Size,Shinsei Kamattechan,2020,rock,57
Tokyo Drifting,Glass Animals,2020,rock,63
Level of Concern,Twenty One Pilots,2020,rock,64
deti nemoi strany,konets solnechnykh dnei,2020,rock,53
Presence of Mind,Dynazty,2020,rock,54
Na apatie,Krzysztof Zalewski,2020,rock,31
Black Creek,Brent Cobb,2020,rock,72
The Shining,The Neighbourhood,2020,rock,56
The Best,AWOLNATION,2020,rock,55
Posthumous Forgiveness,Tame Impala,2020,rock,61
Rock Lobster (Single Version),The B-52's,2020,rock,41
Demon Fire,AC/DC,2020,rock,58
Strach XXI Wieku,Dr Misio,2020,rock,31
Space,Biffy Clyro,2020,rock,56
acting like that (feat. Machine Gun Kelly),YUNGBLUD,2020,rock,60
Why Are Sundays So Depressing,The Strokes,2020,rock,66
Over the Influence,The Neighbourhood,2020,rock,54
Parasite Eve,Bring Me The Horizon,2020,rock,57
mars,YUNGBLUD,2020,rock,56
