Title,Artist,Year,Genre,Popularity
Heat Waves,Glass Animals,2020,rock,85
Borderline,Tame Impala,2020,rock,82
The Adults Are Talking,The Strokes,2020,rock,80
"Świt (feat. Daria Zawiałow, Król & Igo)",Męskie Granie Orkiestra,2020,rock,46
Pretty Boy,The Neighbourhood,2020,rock,76
Crazy Train,Ozzy Osbourne,2020,rock,77
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,2020,rock,73
One More Hour,Tame Impala,2020,rock,73
Who's Ready for Tomorrow,RAT BOY,2020,rock,67
Annuszka,Krzysztof Zalewski,2020,rock,44
parents,YUNGBLUD,2020,rock,67
Lonely,Palaye Royale,2020,rock,63
Howlin' for You,The Black Keys,2020,rock,67
"Płoną góry, płoną lasy",Męskie Granie Orkiestra,2020,rock,42
Is It True,Tame Impala,2020,rock,71
Zanim zrozumiesz,Męskie Granie Orkiestra,2020,rock,40
Devil's Advocate,The Neighbourhood,2020,rock,65
Kaikai Kitan,Eve,2020,rock,72
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,2020,rock,48
紅蓮華,LiSA,2020,rock,73
Stayin Alive,Bee Gees,2020,rock,72
"Świt (feat. Daria Zawiałow, KROL & Igo)",Męskie Granie Orkiestra,2020,rock,40
Born For This,The Score,2020,rock,67
Stargazing,The Neighbourhood,2020,rock,68
Люди,Дайте танк (!),2020,rock,60
Parasite Eve,Bring Me The Horizon,2020,rock,66
Teardrops,Bring Me The Horizon,2020,rock,67
1x1 (feat. Nova Twins),Bring Me The Horizon,2020,rock,66
Lost In Yesterday,Tame Impala,2020,rock,69
Heartless Madness,Dynazty,2020,rock,61
M.,Anıl Emre Daldal,2020,rock,71
Sleigh Ride,The Ronettes,2020,rock,55
Tighten Up,The Black Keys,2020,rock,63
Cherry Flavoured,The Neighbourhood,2020,rock,64
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,63
Major Crimes,HEALTH,2020,rock,58
"Płoną góry, płoną lasy",Męskie Granie Orkiestra,2020,rock,36
Lost The Game,Two Feet,2020,rock,59
Stronger,The Score,2020,rock,63
I Want You To Love Me,Fiona Apple,2020,rock,64
Byłaś serca biciem,Męskie Granie Orkiestra,2020,rock,36
Zabawa,Krzysztof Zalewski,2020,rock,35
Impossible,Nothing But Thieves,2020,rock,59
More Than A Woman,Bee Gees,2020,rock,68
Accidentally In Love,Counting Crows,2020,rock,59
Little Bastards,Palaye Royale,2020,rock,54
Is Everybody Going Crazy?,Nothing But Thieves,2020,rock,57
Breathe Deeper,Tame Impala,2020,rock,66
Ode To The Mets,The Strokes,2020,rock,69
Shot In The Dark,AC/DC,2020,rock,62
Protect The Land,System Of A Down,2020,rock,60
You?,Two Feet,2020,rock,59
Monsters (feat. blackbear),All Time Low,2020,rock,68
Tonight Is The Night I Die,Palaye Royale,2020,rock,53
Mr. Crowley,Ozzy Osbourne,2020,rock,64
Black Catcher,VK Blanka,2020,rock,63
Selfless,The Strokes,2020,rock,70
Black Catcher,VK Blanka,2020,rock,62
Uważaj na niego,Męskie Granie Orkiestra,2020,rock,33
Wszystko będzie dobrze,Krzysztof Zalewski,2020,rock,33
Why,Dominic Fike,2020,rock,69
"Dear Diary,",Bring Me The Horizon,2020,rock,58
Boku no Sensou - TV Size,Shinsei Kamattechan,2020,rock,57
Dirty,grandson,2020,rock,59
