Title,Artist,Year,Genre,Popularity,track_id
Heat Waves,Glass Animals,2020,rock,85,0
Borderline,Tame Impala,2020,rock,82,1
The Adults Are Talking,The Strokes,2020,rock,80,2
"Świt (feat. Daria Zawiałow, Król & Igo)",Męskie Granie Orkiestra,2020,rock,46,3
Pretty Boy,The Neighbourhood,2020,rock,76,4
Crazy Train,Ozzy Osbourne,2020,rock,77,5
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,2020,rock,73,6
One More Hour,Tame Impala,2020,rock,73,7
Who's Ready for Tomorrow,RAT BOY,2020,rock,67,8
Annuszka,Krzysztof Zalewski,2020,rock,44,9
parents,YUNGBLUD,2020,rock,67,10
Lonely,Palaye Royale,2020,rock,63,11
Howlin' for You,The Black Keys,2020,rock,67,12
"Płoną góry, płoną lasy",Męskie Granie Orkiestra,2020,rock,42,13
Is It True,Tame Impala,2020,rock,71,14
Zanim zrozumiesz,Męskie Granie Orkiestra,2020,rock,40,15
Devil's Advocate,The Neighbourhood,2020,rock,65,16
Kaikai Kitan,Eve,2020,rock,72,17
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,2020,rock,48,18
紅蓮華,LiSA,2020,rock,73,19
Stayin Alive,Bee Gees,2020,rock,72,20
"Świt (feat. Daria Zawiałow, KROL & Igo)",Męskie Granie Orkiestra,2020,rock,40,21
Born For This,The Score,2020,rock,67,22
Stargazing,The Neighbourhood,2020,rock,68,23
Люди,Дайте танк (!),2020,rock,60,24
Parasite Eve,Bring Me The Horizon,2020,rock,66,25
Teardrops,Bring Me The Horizon,2020,rock,67,26
1x1 (feat. Nova Twins),Bring Me The Horizon,2020,rock,66,27
Lost In Yesterday,Tame Impala,2020,rock,69,28
Heartless Madness,Dynazty,2020,rock,61,29
M.,Anıl Emre Daldal,2020,rock,71,30
Sleigh Ride,The Ronettes,2020,rock,55,31
Tighten Up,The Black Keys,2020,rock,63,32
Cherry Flavoured,The Neighbourhood,2020,rock,64,33
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,63,34
Major Crimes,HEALTH,2020,rock,58,35
"Płoną góry, płoną lasy",Męskie Granie Orkiestra,2020,rock,36,36
Lost The Game,Two Feet,2020,rock,59,37
Stronger,The Score,2020,rock,63,38
I Want You To Love Me,Fiona Apple,2020,rock,64,39
Byłaś serca biciem,Męskie Granie Orkiestra,2020,rock,36,40
Zabawa,Krzysztof Zalewski,2020,rock,35,41
Impossible,Nothing But Thieves,2020,rock,59,42
More Than A Woman,Bee Gees,2020,rock,68,43
Accidentally In Love,Counting Crows,2020,rock,59,44
Little Bastards,Palaye Royale,2020,rock,54,45
Is Everybody Going Crazy?,Nothing But Thieves,2020,rock,57,46
Breathe Deeper,Tame Impala,2020,rock,66,47
Ode To The Mets,The Strokes,2020,rock,69,48
Shot In The Dark,AC/DC,2020,rock,62,49
Protect The Land,System Of A Down,2020,rock,60,50
You?,Two Feet,2020,rock,59,51
Monsters (feat. blackbear),All Time Low,2020,rock,68,52
Tonight Is The Night I Die,Palaye Royale,2020,rock,53,53
Mr. Crowley,Ozzy Osbourne,2020,rock,64,54
Black Catcher,VK Blanka,2020,rock,63,55
Selfless,The Strokes,2020,rock,70,56
Black Catcher,VK Blanka,2020,rock,62,57
Uważaj na niego,Męskie Granie Orkiestra,2020,rock,33,58
Wszystko będzie dobrze,Krzysztof Zalewski,2020,rock,33,59
Why,Dominic Fike,2020,rock,69,60
"Dear Diary,",Bring Me The Horizon,2020,rock,58,61
Boku no Sensou - TV Size,Shinsei Kamattechan,2020,rock,57,62
Dirty,grandson,2020,rock,59,63
Wodzirej,Sztywny Pal Azji,2020,rock,33,64
Genocidal Humanoidz,System Of A Down,2020,rock,59,65
Tokyo Drifting,Glass Animals,2020,rock,62,66
Level of Concern,Twenty One Pilots,2020,rock,63,67
Presence of Mind,Dynazty,2020,rock,54,68
дети немой страны,конец солнечных дней,2020,rock,52,69
Black Creek,Brent Cobb,2020,rock,72,70
Na apatię,Krzysztof Zalewski,2020,rock,31,71
The Shining,The Neighbourhood,2020,rock,55,72
Posthumous Forgiveness,Tame Impala,2020,rock,61,73
Space,Biffy Clyro,2020,rock,56,74
Demon Fire,AC/DC,2020,rock,58,75
Strach XXI Wieku,Dr Misio,2020,rock,30,76
The Best,AWOLNATION,2020,rock,54,77
Rock Lobster (Single Version),The B-52's,2020,rock,40,78
Over the Influence,The Neighbourhood,2020,rock,53,79
Why Are Sundays So Depressing,The Strokes,2020,rock,65,80
Parasite Eve,Bring Me The Horizon,2020,rock,57,81
BxMxC,BABYMETAL,2020,rock,56,82
acting like that (feat. Machine Gun Kelly),YUNGBLUD,2020,rock,59,83
Hang on to Yourself,Palaye Royale,2020,rock,50,84
mars,YUNGBLUD,2020,rock,55,85
Ludens,Bring Me The Horizon,2020,rock,54,86
Waterfall,Dynazty,2020,rock,51,87
Teardrops,Bring Me The Horizon,2020,rock,57,88
Lost in Translation,The Neighbourhood,2020,rock,55,89
Feel Good Inc.,Gorillaz,2020,rock,50,90
Monsters (feat. Demi Lovato and blackbear),All Time Low,2020,rock,63,91
Ohms,Deftones,2020,rock,61,92
Real Love Song,Nothing But Thieves,2020,rock,52,93
Panic,From Ashes to New,2020,rock,60,94
Somebody That I Used to Know,Three Days Grace,2020,rock,56,95
Circle The Drain,Machine Head,2020,rock,53,96
Beautiful Boy (Darling Boy) - Ultimate Mix,John Lennon,2020,rock,57,97
All Eyes on You,Smash Into Pieces,2020,rock,56,98
One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),Bring Me The Horizon,2020,rock,55,99
The Twist,Chubby Checker,2020,rock,61,100
Pink,Two Feet,2020,rock,52,101
Here We Go Again,The Neighbourhood,2020,rock,53,102
Glory,The Score,2020,rock,56,103
Ceremony,Deftones,2020,rock,58,104
