Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Heat Waves,Glass Animals,2020,rock,86,glass_animals,heat_waves
Borderline,Tame Impala,2020,rock,82,tame_impala,borderline
The Adults Are Talking,The Strokes,2020,rock,81,the_strokes,the_adults_are_talking
Pretty Boy,The Neighbourhood,2020,rock,77,the_neighbourhood,pretty_boy
"Swit (feat. Daria Zawialow, Krol & Igo)",Meskie Granie Orkiestra,2020,rock,47,meskie_granie_orkiestra,swit_feat_daria_zawialow_krol_igo
Crazy Train,Ozzy Osbourne,2020,rock,77,ozzy_osbourne,crazy_train
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,2020,rock,74,bring_me_the_horizon,kingslayer_feat_babymetal
One More Hour,Tame Impala,2020,rock,74,tame_impala,one_more_hour
Who's Ready for Tomorrow,RAT BOY,2020,rock,68,rat_boy,whos_ready_for_tomorrow
Annuszka,Krzysztof Zalewski,2020,rock,44,krzysztof_zalewski,annuszka
parents,YUNGBLUD,2020,rock,68,yungblud,parents
Lonely,Palaye Royale,2020,rock,63,palaye_royale,lonely
Howlin' for You,The Black Keys,2020,rock,68,the_black_keys,howlin_for_you
"Plona gory, plona lasy",Meskie Granie Orkiestra,2020,rock,43,meskie_granie_orkiestra,plona_gory_plona_lasy
Is It True,Tame Impala,2020,rock,72,tame_impala,is_it_true
Zanim zrozumiesz,Meskie Granie Orkiestra,2020,rock,41,meskie_granie_orkiestra,zanim_zrozumiesz
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,2020,rock,48,yeah_yeah_yeahs,heads_will_roll_atrak_remix
Kaikai Kitan,Eve,2020,rock,73,eve,kaikai_kitan
Devil's Advocate,The Neighbourhood,2020,rock,65,the_neighbourhood,devils_advocate
Hong Lian Hua ,LiSA,2020,rock,73,lisa,hong_lian_hua_
Stayin Alive,Bee Gees,2020,rock,73,bee_gees,stayin_alive
Born For This,The Score,2020,rock,68,the_score,born_for_this
"Swit (feat. Daria Zawialow, KROL & Igo)",Meskie Granie Orkiestra,2020,rock,40,meskie_granie_orkiestra,swit_feat_daria_zawialow_krol_igo
Stargazing,The Neighbourhood,2020,rock,69,the_neighbourhood,stargazing
Liudi,Daite tank (!),2020,rock,61,daite_tank_,liudi
Parasite Eve,Bring Me The Horizon,2020,rock,67,bring_me_the_horizon,parasite_eve
Teardrops,Bring Me The Horizon,2020,rock,67,bring_me_the_horizon,teardrops
Lost In Yesterday,Tame Impala,2020,rock,69,tame_impala,lost_in_yesterday
1x1 (feat. Nova Twins),Bring Me The Horizon,2020,rock,67,bring_me_the_horizon,1x1_feat_nova_twins
M.,Anil Emre Daldal,2020,rock,72,anil_emre_daldal,m
Heartless Madness,Dynazty,2020,rock,61,dynazty,heartless_madness
Tighten Up,The Black Keys,2020,rock,64,the_black_keys,tighten_up
Cherry Flavoured,The Neighbourhood,2020,rock,65,the_neighbourhood,cherry_flavoured
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,63,bring_me_the_horizon,obey_with_yungblud
"Plona gory, plona lasy",Meskie Granie Orkiestra,2020,rock,37,meskie_granie_orkiestra,plona_gory_plona_lasy
Major Crimes,HEALTH,2020,rock,59,health,major_crimes
Stronger,The Score,2020,rock,64,the_score,stronger
Lost The Game,Two Feet,2020,rock,59,two_feet,lost_the_game
Sleigh Ride,The Ronettes,2020,rock,54,the_ronettes,sleigh_ride
Bylas serca biciem,Meskie Granie Orkiestra,2020,rock,36,meskie_granie_orkiestra,bylas_serca_biciem
Zabawa,Krzysztof Zalewski,2020,rock,36,krzysztof_zalewski,zabawa
I Want You To Love Me,Fiona Apple,2020,rock,64,fiona_apple,i_want_you_to_love_me
More Than A Woman,Bee Gees,2020,rock,69,bee_gees,more_than_a_woman
Accidentally In Love,Counting Crows,2020,rock,59,counting_crows,accidentally_in_love
Impossible,Nothing But Thieves,2020,rock,59,nothing_but_thieves,impossible
Breathe Deeper,Tame Impala,2020,rock,67,tame_impala,breathe_deeper
Little Bastards,Palaye Royale,2020,rock,55,palaye_royale,little_bastards
Ode To The Mets,The Strokes,2020,rock,69,the_strokes,ode_to_the_mets
Is Everybody Going Crazy?,Nothing But Thieves,2020,rock,58,nothing_but_thieves,is_everybody_going_crazy
Shot In The Dark,AC/DC,2020,rock,62,acdc,shot_in_the_dark
Protect The Land,System Of A Down,2020,rock,60,system_of_a_down,protect_the_land
You?,Two Feet,2020,rock,59,two_feet,you
Monsters (feat. blackbear),All Time Low,2020,rock,69,all_time_low,monsters_feat_blackbear
Black Catcher,VK Blanka,2020,rock,64,vk_blanka,black_catcher
Mr. Crowley,Ozzy Osbourne,2020,rock,64,ozzy_osbourne,mr_crowley
Tonight Is The Night I Die,Palaye Royale,2020,rock,54,palaye_royale,tonight_is_the_night_i_die
Selfless,The Strokes,2020,rock,71,the_strokes,selfless
Black Catcher,VK Blanka,2020,rock,63,vk_blanka,black_catcher
Wszystko bedzie dobrze,Krzysztof Zalewski,2020,rock,34,krzysztof_zalewski,wszystko_bedzie_dobrze
Uwazaj na niego,Meskie Granie Orkiestra,2020,rock,34,meskie_granie_orkiestra,uwazaj_na_niego
Why,Dominic Fike,2020,rock,69,dominic_fike,why
"Dear Diary,",Bring Me The Horizon,2020,rock,58,bring_me_the_horizon,dear_diary
Wodzirej,Sztywny Pal Azji,2020,rock,33,sztywny_pal_azji,wodzirej
Dirty,grandson,2020,rock,59,grandson,dirty
Genocidal Humanoidz,System Of A Down,2020,rock,59,system_of_a_down,genocidal_humanoidz
