Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Heat Waves,Glass Animals,2020,rock,85,glass_animals,heat_waves
Borderline,Tame Impala,2020,rock,82,tame_impala,borderline
The Adults Are Talking,The Strokes,2020,rock,80,the_strokes,the_adults_are_talking
"Świt (feat. Daria Zawiałow, Król & Igo)",Męskie Granie Orkiestra,2020,rock,46,meskie_granie_orkiestra,swit_feat_daria_zawiaow_krol_igo
Pretty Boy,The Neighbourhood,2020,rock,76,the_neighbourhood,pretty_boy
Crazy Train,Ozzy Osbourne,2020,rock,77,ozzy_osbourne,crazy_train
Kingslayer (feat. BABYMETAL),Bring Me The Horizon,2020,rock,73,bring_me_the_horizon,kingslayer_feat_babymetal
One More Hour,Tame Impala,2020,rock,73,tame_impala,one_more_hour
Who's Ready for Tomorrow,RAT BOY,2020,rock,67,rat_boy,whos_ready_for_tomorrow
Annuszka,Krzysztof Zalewski,2020,rock,44,krzysztof_zalewski,annuszka
parents,YUNGBLUD,2020,rock,67,yungblud,parents
Lonely,Palaye Royale,2020,rock,63,palaye_royale,lonely
Howlin' for You,The Black Keys,2020,rock,67,the_black_keys,howlin_for_you
"Płoną góry, płoną lasy",Męskie Granie Orkiestra,2020,rock,42,meskie_granie_orkiestra,pona_gory_pona_lasy
Is It True,Tame Impala,2020,rock,71,tame_impala,is_it_true
Zanim zrozumiesz,Męskie Granie Orkiestra,2020,rock,40,meskie_granie_orkiestra,zanim_zrozumiesz
Devil's Advocate,The Neighbourhood,2020,rock,65,the_neighbourhood,devils_advocate
Kaikai Kitan,Eve,2020,rock,72,eve,kaikai_kitan
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,2020,rock,48,yeah_yeah_yeahs,heads_will_roll_atrak_remix
紅蓮華,LiSA,2020,rock,73,lisa,
Stayin Alive,Bee Gees,2020,rock,72,bee_gees,stayin_alive
"Świt (feat. Daria Zawiałow, KROL & Igo)",Męskie Granie Orkiestra,2020,rock,40,meskie_granie_orkiestra,swit_feat_daria_zawiaow_krol_igo
Born For This,The Score,2020,rock,67,the_score,born_for_this
Stargazing,The Neighbourhood,2020,rock,68,the_neighbourhood,stargazing
Люди,Дайте танк (!),2020,rock,60,_,
Parasite Eve,Bring Me The Horizon,2020,rock,66,bring_me_the_horizon,parasite_eve
Teardrops,Bring Me The Horizon,2020,rock,67,bring_me_the_horizon,teardrops
1x1 (feat. Nova Twins),Bring Me The Horizon,2020,rock,66,bring_me_the_horizon,1x1_feat_nova_twins
Lost In Yesterday,Tame Impala,2020,rock,69,tame_impala,lost_in_yesterday
Heartless Madness,Dynazty,2020,rock,61,dynazty,heartless_madness
M.,Anıl Emre Daldal,2020,rock,71,anl_emre_daldal,m
Sleigh Ride,The Ronettes,2020,rock,55,the_ronettes,sleigh_ride
Tighten Up,The Black Keys,2020,rock,63,the_black_keys,tighten_up
Cherry Flavoured,The Neighbourhood,2020,rock,64,the_neighbourhood,cherry_flavoured
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,63,bring_me_the_horizon,obey_with_yungblud
Major Crimes,HEALTH,2020,rock,58,health,major_crimes
"Płoną góry, płoną lasy",Męskie Granie Orkiestra,2020,rock,36,meskie_granie_orkiestra,pona_gory_pona_lasy
Lost The Game,Two Feet,2020,rock,59,two_feet,lost_the_game
Stronger,The Score,2020,rock,63,the_score,stronger
I Want You To Love Me,Fiona Apple,2020,rock,64,fiona_apple,i_want_you_to_love_me
Byłaś serca biciem,Męskie Granie Orkiestra,2020,rock,36,meskie_granie_orkiestra,byas_serca_biciem
Zabawa,Krzysztof Zalewski,2020,rock,35,krzysztof_zalewski,zabawa
Impossible,Nothing But Thieves,2020,rock,59,nothing_but_thieves,impossible
More Than A Woman,Bee Gees,2020,rock,68,bee_gees,more_than_a_woman
Accidentally In Love,Counting Crows,2020,rock,59,counting_crows,accidentally_in_love
Little Bastards,Palaye Royale,2020,rock,54,palaye_royale,little_bastards
Is Everybody Going Crazy?,Nothing But Thieves,2020,rock,57,nothing_but_thieves,is_everybody_going_crazy
Breathe Deeper,Tame Impala,2020,rock,66,tame_impala,breathe_deeper
Ode To The Mets,The Strokes,2020,rock,69,the_strokes,ode_to_the_mets
Shot In The Dark,AC/DC,2020,rock,62,acdc,shot_in_the_dark
Protect The Land,System Of A Down,2020,rock,60,system_of_a_down,protect_the_land
You?,Two Feet,2020,rock,59,two_feet,you
Monsters (feat. blackbear),All Time Low,2020,rock,68,all_time_low,monsters_feat_blackbear
Tonight Is The Night I Die,Palaye Royale,2020,rock,53,palaye_royale,tonight_is_the_night_i_die
Mr. Crowley,Ozzy Osbourne,2020,rock,64,ozzy_osbourne,mr_crowley
Black Catcher,VK Blanka,2020,rock,63,vk_blanka,black_catcher
Selfless,The Strokes,2020,rock,70,the_strokes,selfless
Black Catcher,VK Blanka,2020,rock,62,vk_blanka,black_catcher
Uważaj na niego,Męskie Granie Orkiestra,2020,rock,33,meskie_granie_orkiestra,uwazaj_na_niego
Wszystko będzie dobrze,Krzysztof Zalewski,2020,rock,33,krzysztof_zalewski,wszystko_bedzie_dobrze
Why,Dominic Fike,2020,rock,69,dominic_fike,why
"Dear Diary,",Bring Me The Horizon,2020,rock,58,bring_me_the_horizon,dear_diary
Boku no Sensou - TV Size,Shinsei Kamattechan,2020,rock,57,shinsei_kamattechan,boku_no_sensou_tv_size
Dirty,grandson,2020,rock,59,grandson,dirty
Wodzirej,Sztywny Pal Azji,2020,rock,33,sztywny_pal_azji,wodzirej
Genocidal Humanoidz,System Of A Down,2020,rock,59,system_of_a_down,genocidal_humanoidz
Tokyo Drifting,Glass Animals,2020,rock,62,glass_animals,tokyo_drifting
Level of Concern,Twenty One Pilots,2020,rock,63,twenty_one_pilots,level_of_concern
Presence of Mind,Dynazty,2020,rock,54,dynazty,presence_of_mind
дети немой страны,конец солнечных дней,2020,rock,52,_,_
Black Creek,Brent Cobb,2020,rock,72,brent_cobb,black_creek
Na apatię,Krzysztof Zalewski,2020,rock,31,krzysztof_zalewski,na_apatie
The Shining,The Neighbourhood,2020,rock,55,the_neighbourhood,the_shining
Posthumous Forgiveness,Tame Impala,2020,rock,61,tame_impala,posthumous_forgiveness
Space,Biffy Clyro,2020,rock,56,biffy_clyro,space
Demon Fire,AC/DC,2020,rock,58,acdc,demon_fire
Strach XXI Wieku,Dr Misio,2020,rock,30,dr_misio,strach_xxi_wieku
The Best,AWOLNATION,2020,rock,54,awolnation,the_best
Rock Lobster (Single Version),The B-52's,2020,rock,40,the_b52s,rock_lobster_single_version
Over the Influence,The Neighbourhood,2020,rock,53,the_neighbourhood,over_the_influence
Why Are Sundays So Depressing,The Strokes,2020,rock,65,the_strokes,why_are_sundays_so_depressing
Parasite Eve,Bring Me The Horizon,2020,rock,57,bring_me_the_horizon,parasite_eve
BxMxC,BABYMETAL,2020,rock,56,babymetal,bxmxc
acting like that (feat. Machine Gun Kelly),YUNGBLUD,2020,rock,59,yungblud,acting_like_that_feat_machine_gun_kelly
Hang on to Yourself,Palaye Royale,2020,rock,50,palaye_royale,hang_on_to_yourself
mars,YUNGBLUD,2020,rock,55,yungblud,mars
Ludens,Bring Me The Horizon,2020,rock,54,bring_me_the_horizon,ludens
Waterfall,Dynazty,2020,rock,51,dynazty,waterfall
Teardrops,Bring Me The Horizon,2020,rock,57,bring_me_the_horizon,teardrops
Lost in Translation,The Neighbourhood,2020,rock,55,the_neighbourhood,lost_in_translation
Feel Good Inc.,Gorillaz,2020,rock,50,gorillaz,feel_good_inc
Monsters (feat. Demi Lovato and blackbear),All Time Low,2020,rock,63,all_time_low,monsters_feat_demi_lovato_and_blackbear
Ohms,Deftones,2020,rock,61,deftones,ohms
Real Love Song,Nothing But Thieves,2020,rock,52,nothing_but_thieves,real_love_song
Panic,From Ashes to New,2020,rock,60,from_ashes_to_new,panic
Somebody That I Used to Know,Three Days Grace,2020,rock,56,three_days_grace,somebody_that_i_used_to_know
Circle The Drain,Machine Head,2020,rock,53,machine_head,circle_the_drain
Beautiful Boy (Darling Boy) - Ultimate Mix,John Lennon,2020,rock,57,john_lennon,beautiful_boy_darling_boy_ultimate_mix
All Eyes on You,Smash Into Pieces,2020,rock,56,smash_into_pieces,all_eyes_on_you
One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),Bring Me The Horizon,2020,rock,55,bring_me_the_horizon,one_day_the_only_butterflies_left_will_be_in_your_chest_as_you_march_towards_your_death_feat_amy_lee
